російський_корінь,українські_корені,виключення,тип,коментар
питани,харчуванн,"Дбайте про харчування,громадське харчування,громадського харчування,дитяче харчування,збалансоване харчування,здорове харчування",Помилка контексту,Чому виникає: Перекладач обирає біологічне значення слова — «харчування» (прийом їжі).
лук,цибул,"зелена цибуля,ріпчаста цибуля",Помилка перекладу,Чому виникає: Перекладач розпізнає це слово як овоч і видає «цибуля».
разрешени,дозвіл,"Дозвіл вологості,дозвіл користувача,дозвіл на,організацію дозвілля",Помилка перекладу,Чому виникає: Програма перекладає слово в юридичному сенсі — як «дозвіл» на виконання якоїсь дії.
отношени,ставленн,"відповідальне ставлення,дбайливим ставленням,дбайливого ставлення,особливе ставлення,ставлення до,ставленням до",Помилка контексту,"Чому виникає: Перекладач бере емоційне значення — «ставлення» (наприклад, ставлення людини до роботи)."
шаг,шаг,,Помилка перекладу,Чому виникає: В українській мові слово «шаг» означає лише дрібну старовинну монету. Фізична відстань або дія ногами — це завжди «крок».
напряжени,напруженн,"без зайвого напруження,напруження для очей,напруження очей",Помилка перекладу,"Чому виникає: «Напруження» означає емоційний або фізичний стан (напруження м'язів, нервове напруження)."
сеть,сітка,"захисна сітка,металева сітка,москітна сітка",Помилка контексту,Чому виникає: Перекладач плутає цифрову мережу з фізичним виробом із ниток чи дроту (москітна сітка).
проводн,проводн,,Суржик,Чому виникає: Звичайна калька (суржик) з російської мови.
беспроводн,безпроводн,,Суржик,
емкост,ємкіст,,Суржик,Чому виникає: Слово «ємкість» є поширеним суржиком.
расход,розхід,,Суржик,"Чому виникає: «Розхід» — це русизм і розмовний покруч, якого уникають у технічній документації."
руководств,керівництв,,Помилка контексту,"Чому виникає: Перекладач обирає адміністративне значення — «керівництво» (група людей, яка керує компанією)."
приложени,прикладанн,,Помилка перекладу,"Чому виникає: Перекладається як фізична дія — «прикладання» (наприклад, зусиль або подорожника до рани)."
среда,середа,,Помилка перекладу,Чому виникає: Програма сприймає це слово як назву дня тижня.
загрузк,загрузк,,Суржик,Чому виникає: Калька/суржик. Українською можна сказати «грузити» хіба що про мішки в автомобіль.
ссылк,ссилк,,Суржик,Чому виникає: Суржик. В українській мові «силка»/«ссилка» може асоціюватися хіба що із засланням як видом покарання.
умолчани,замовчуванню,,Помилка перекладу,Чому виникає: Машинні перекладачі часто калькують прийменник і пишуть «по замовчуванню» або «по умовчанню».
колонк,стовпчик,,Помилка перекладу,Чому виникає: Перекладач розпізнає слово як елемент електронної таблиці (стовпець/стовпчик).
полос,полос,,Суржик,Чому виникає: Калькування російського слова (суржик).
исключени,виключенн,,Помилка контексту,"Чому виникає: Перекладач плутає з дією — «виключення» (наприклад, пристрою з розетки, хоча правильно казати «вимкнення»)."
миша,ведмедик,,Помилка перекладу,
мышь,ведмедик,,Помилка перекладу,
миша,Михайло,,Помилка перекладу,
мышь,Михайло,,Помилка перекладу,
стул,випорожнення,,Помилка перекладу,
